,rank_ic,rank_icir,annualized_return,cumulative_return,annualized_excess,volatility,sharpe,information_ratio,max_drawdown,calmar,hit_rate,avg_turnover
FactorVAE,0.040169441718017146,0.24620684819368738,0.09967109781100825,0.9704736049081615,-0.008177001513703486,0.19723761447837487,-0.0016675429271520597,-0.02787234414056736,0.4124283868008476,0.2416688593725174,0.5202665186007773,0.10039977790116603
FactorVAE (TDrisk),,,0.08539043966543636,0.7949172949568424,-0.022457659659275375,0.20278562255277643,-0.07204435970681997,-0.07563247110183016,0.433267231189293,0.19708492477274275,0.5274847307051638,0.08172126596335369
GRU,0.02488054226231783,0.2172436181122248,0.06686399488720451,0.5873308096990255,-0.04098410443750722,0.21963112395123374,-0.15087117215751678,-0.13300394161881798,0.48289329512266543,0.1384653619392657,0.526929483620211,0.10049972237645752
IPCA,0.015684902910490715,0.11253238027486953,-0.02232790986865396,-0.14888064071824036,-0.1301760091933657,0.27236939429730445,-0.44912502076179345,-0.3816800922255601,0.5810057633440957,-0.03842975625601574,0.5119378123264853,0.10047751249305942
CA,0.03462921543528514,0.21945725064122407,0.06721105043082343,0.5910207697606373,-0.040637048893888306,0.20539798119842292,-0.15963618229285856,-0.13538563887998215,0.44925137826637973,0.14960677625561164,0.5285952248750694,0.10049972237645752
