epoch,step,train_loss,train_loss_kl,train_loss_recon,train_post_mu_0,train_post_mu_1,train_post_mu_2,train_post_mu_3,train_post_mu_4,train_post_mu_5,train_post_mu_6,train_post_mu_7,train_post_sig_0,train_post_sig_1,train_post_sig_2,train_post_sig_3,train_post_sig_4,train_post_sig_5,train_post_sig_6,train_post_sig_7,train_prior_mu_0,train_prior_mu_1,train_prior_mu_2,train_prior_mu_3,train_prior_mu_4,train_prior_mu_5,train_prior_mu_6,train_prior_mu_7,train_prior_sig_0,train_prior_sig_1,train_prior_sig_2,train_prior_sig_3,train_prior_sig_4,train_prior_sig_5,train_prior_sig_6,train_prior_sig_7,val_rank_ic
5,11873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012768732849508524
5,11873,1.357042908668518,0.00508270226418972,1.3519620895385742,-0.03118356503546238,-0.03117857687175274,-0.02844945527613163,-0.02428978495299816,-0.027555422857403755,-0.0280047245323658,-0.028369061648845673,-0.025389976799488068,0.6983910799026489,0.6836908459663391,0.6846230030059814,0.7080177664756775,0.7055438756942749,0.6972480416297913,0.6876638531684875,0.7048226594924927,-0.03126544505357742,-0.03103034384548664,-0.028407439589500427,-0.024358026683330536,-0.027422823011875153,-0.027930395677685738,-0.02859450876712799,-0.025462662801146507,0.6986533999443054,0.6839165687561035,0.6846922039985657,0.7081494927406311,0.7057083249092102,0.6975988149642944,0.6878527998924255,0.7069811820983887,
6,13852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004371205810457468
6,13852,1.356357455253601,0.005274124443531036,1.3510838747024536,-0.034342918545007706,-0.03256193920969963,-0.03220534324645996,-0.030983485281467438,-0.0329197458922863,-0.03177233040332794,-0.03189058601856232,-0.03038623370230198,0.6956137418746948,0.6849650144577026,0.6825813055038452,0.7038671970367432,0.6996616125106812,0.6981472969055176,0.6887752413749695,0.6992396116256714,-0.03428893908858299,-0.03259510174393654,-0.032220304012298584,-0.030866818502545357,-0.0328732430934906,-0.03165294975042343,-0.03187575191259384,-0.030748747289180756,0.6958258152008057,0.6852018237113953,0.6826582551002502,0.7039843797683716,0.6998153328895569,0.6985458135604858,0.6889564394950867,0.7015604972839355,
7,15831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0302271221007686e-05
7,15831,1.355258822441101,0.005545133724808693,1.3497130870819092,-0.032391324639320374,-0.03178877755999565,-0.030934415757656097,-0.030255015939474106,-0.032351862639188766,-0.030773896723985672,-0.030337000265717506,-0.03211389482021332,0.6940367817878723,0.6881600022315979,0.683210551738739,0.699825644493103,0.6954695582389832,0.697124719619751,0.6889494061470032,0.6944188475608826,-0.032581642270088196,-0.0318131223320961,-0.030977774411439896,-0.030334314331412315,-0.03231384605169296,-0.031060338020324707,-0.030377337709069252,-0.03160589933395386,0.6942395567893982,0.6883863210678101,0.6832948327064514,0.6999448537826538,0.6956415772438049,0.697510838508606,0.6891570091247559,0.6969026923179626,
8,17810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011601570062339306
8,17810,1.3541285991668701,0.005730564706027508,1.3483983278274536,-0.032268255949020386,-0.033582061529159546,-0.03354157507419586,-0.03221702575683594,-0.03355865553021431,-0.0332634337246418,-0.03266488015651703,-0.03274985030293465,0.6908911466598511,0.6893842816352844,0.6860814690589905,0.6936389207839966,0.6913526058197021,0.6929822564125061,0.6891855597496033,0.6904617547988892,-0.03229276463389397,-0.033494655042886734,-0.03354691341519356,-0.03221753239631653,-0.03348066657781601,-0.033227089792490005,-0.032818619161844254,-0.03288508206605911,0.6910935044288635,0.6896600127220154,0.6861661076545715,0.6937254667282104,0.691587507724762,0.6934390664100647,0.6893885135650635,0.6928721070289612,
9,19789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015091249719262123
9,19789,1.3535048961639404,0.005991590209305286,1.347515344619751,-0.03542390838265419,-0.03822677209973335,-0.03836902976036072,-0.033362653106451035,-0.037187911570072174,-0.03534024953842163,-0.03309048339724541,-0.036388758569955826,0.6874403953552246,0.6873042583465576,0.6858006119728088,0.6899726986885071,0.6879743337631226,0.6897929906845093,0.6860868334770203,0.6861028671264648,-0.035577960312366486,-0.03781130909919739,-0.03842805698513985,-0.03353620693087578,-0.037029050290584564,-0.03523316979408264,-0.03360362723469734,-0.03626473248004913,0.6876428127288818,0.6875709295272827,0.6858900785446167,0.6900630593299866,0.6881803870201111,0.6902438402175903,0.6862946152687073,0.6887186765670776,
10,21768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0039435685612261295
10,21768,1.3523147106170654,0.006102512590587139,1.3462154865264893,-0.034611303359270096,-0.03689378872513771,-0.037424612790346146,-0.03259221091866493,-0.03581802174448967,-0.03480445221066475,-0.033397331833839417,-0.03518642112612724,0.684794545173645,0.6836472749710083,0.6849961280822754,0.6872470378875732,0.6862754821777344,0.6867913603782654,0.6871563792228699,0.6834734678268433,-0.03470274806022644,-0.036793049424886703,-0.037498410791158676,-0.03282078355550766,-0.036082923412323,-0.035006728023290634,-0.03351534530520439,-0.03453918173909187,0.6849434971809387,0.6838740110397339,0.6850773692131042,0.6873449087142944,0.6865270733833313,0.687231183052063,0.6873757243156433,0.6861907243728638,
