epoch,step,train_gamma_eff,train_loss,train_loss_kl,train_loss_recon,train_post_mu_0,train_post_mu_1,train_post_mu_2,train_post_mu_3,train_post_mu_4,train_post_mu_5,train_post_mu_6,train_post_mu_7,train_post_sig_0,train_post_sig_1,train_post_sig_2,train_post_sig_3,train_post_sig_4,train_post_sig_5,train_post_sig_6,train_post_sig_7,train_prior_mu_0,train_prior_mu_1,train_prior_mu_2,train_prior_mu_3,train_prior_mu_4,train_prior_mu_5,train_prior_mu_6,train_prior_mu_7,train_prior_sig_0,train_prior_sig_1,train_prior_sig_2,train_prior_sig_3,train_prior_sig_4,train_prior_sig_5,train_prior_sig_6,train_prior_sig_7,val_rank_ic
0,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031897034496068954
0,1732,0.43300002813339233,1.385948657989502,0.053232498466968536,1.3629101514816284,0.1677333414554596,0.110364630818367,0.04726409167051315,-0.10181187838315964,0.009116493165493011,-0.17345815896987915,-0.19560042023658752,0.22372065484523773,0.7333634495735168,0.6914644837379456,0.8185802102088928,0.7743134498596191,0.6623873114585876,0.608464241027832,0.721938967704773,0.6363072991371155,0.13843823969364166,0.10281499475240707,0.0415847972035408,-0.0438285656273365,0.0446440726518631,-0.12560227513313293,-0.1232464388012886,0.1566259115934372,0.7211694717407227,0.7195190787315369,0.7775616645812988,0.7664695382118225,0.7065903544425964,0.6853965520858765,0.7603096961975098,0.688673198223114,
1,3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005284235347062349
1,3465,0.9896774888038635,1.3941521644592285,0.05220339447259903,1.3424991369247437,0.1517212837934494,0.12030505388975143,0.044315777719020844,-0.10381939262151718,0.016859138384461403,-0.1521979719400406,-0.19744378328323364,0.19799144566059113,0.7242403030395508,0.6933701634407043,0.8046484589576721,0.7580722570419312,0.6695862412452698,0.6261647939682007,0.7152571678161621,0.659873366355896,0.15608394145965576,0.1231311559677124,0.05408438667654991,-0.10067442059516907,0.021921904757618904,-0.15006037056446075,-0.19071026146411896,0.1949199140071869,0.780187726020813,0.7496595978736877,0.8531537055969238,0.8168360590934753,0.725932240486145,0.6728919744491577,0.7706748247146606,0.710114061832428,
2,5198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027621089247986674
2,5198,1.0,1.3902654647827148,0.05172472074627876,1.3385411500930786,0.13800446689128876,0.11975637078285217,0.03797467425465584,-0.10135260969400406,0.023686807602643967,-0.13702701032161713,-0.1895121932029724,0.18822062015533447,0.7254951000213623,0.6936600208282471,0.8007780313491821,0.7579309344291687,0.6754942536354065,0.6349472403526306,0.7156955599784851,0.6625887751579285,0.14248737692832947,0.128694549202919,0.04791072756052017,-0.09735536575317383,0.023631198331713676,-0.12999658286571503,-0.18904820084571838,0.18801669776439667,0.7809685468673706,0.7496131658554077,0.8552065491676331,0.8121920228004456,0.7304970026016235,0.6827917098999023,0.7702953815460205,0.7155646085739136,
3,6931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015722976997494698
3,6931,1.0,1.3877031803131104,0.05158578231930733,1.3361190557479858,0.13215726613998413,0.1177334412932396,0.03153345733880997,-0.10586822777986526,0.02412419766187668,-0.12901204824447632,-0.1821182817220688,0.18601998686790466,0.7250078916549683,0.6948870420455933,0.7984621524810791,0.7580987811088562,0.6769841909408569,0.638333797454834,0.7147477865219116,0.6633991599082947,0.13213469088077545,0.12785604596138,0.04751836881041527,-0.1071820929646492,0.03401804715394974,-0.11250900477170944,-0.1864553540945053,0.18089918792247772,0.7760751247406006,0.7487653493881226,0.8503368496894836,0.8113950490951538,0.7293645739555359,0.6856914162635803,0.7681624293327332,0.7161736488342285,
4,8664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014883297495543957
4,8664,1.0,1.3850284814834595,0.051731325685977936,1.3332973718643188,0.12569478154182434,0.11481158435344696,0.030320513993501663,-0.10337404161691666,0.026754023507237434,-0.1271190047264099,-0.1766429990530014,0.17668822407722473,0.722222089767456,0.6947085857391357,0.7954925894737244,0.7571401596069336,0.6746429800987244,0.6405622959136963,0.7139135599136353,0.6647673845291138,0.12488427758216858,0.1212586835026741,0.04440392926335335,-0.09833864122629166,0.03467829152941704,-0.116206094622612,-0.172118678689003,0.17807988822460175,0.772123396396637,0.7504297494888306,0.8469361066818237,0.8137043118476868,0.7300662398338318,0.6906462907791138,0.7716477513313293,0.7163273096084595,
