epoch,step,train_loss,train_loss_kl,train_loss_recon,train_post_mu_0,train_post_mu_1,train_post_mu_10,train_post_mu_11,train_post_mu_12,train_post_mu_13,train_post_mu_14,train_post_mu_15,train_post_mu_2,train_post_mu_3,train_post_mu_4,train_post_mu_5,train_post_mu_6,train_post_mu_7,train_post_mu_8,train_post_mu_9,train_post_sig_0,train_post_sig_1,train_post_sig_10,train_post_sig_11,train_post_sig_12,train_post_sig_13,train_post_sig_14,train_post_sig_15,train_post_sig_2,train_post_sig_3,train_post_sig_4,train_post_sig_5,train_post_sig_6,train_post_sig_7,train_post_sig_8,train_post_sig_9,train_prior_mu_0,train_prior_mu_1,train_prior_mu_10,train_prior_mu_11,train_prior_mu_12,train_prior_mu_13,train_prior_mu_14,train_prior_mu_15,train_prior_mu_2,train_prior_mu_3,train_prior_mu_4,train_prior_mu_5,train_prior_mu_6,train_prior_mu_7,train_prior_mu_8,train_prior_mu_9,train_prior_sig_0,train_prior_sig_1,train_prior_sig_10,train_prior_sig_11,train_prior_sig_12,train_prior_sig_13,train_prior_sig_14,train_prior_sig_15,train_prior_sig_2,train_prior_sig_3,train_prior_sig_4,train_prior_sig_5,train_prior_sig_6,train_prior_sig_7,train_prior_sig_8,train_prior_sig_9,val_rank_ic
0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011177275329828262
0,1978,1.3763142824172974,0.003639450529590249,1.3726742267608643,0.002690949011594057,0.03427467867732048,-0.04958081245422363,0.03338015452027321,0.08412832766771317,-0.09115425497293472,-0.036904919892549515,0.045538049191236496,0.026410698890686035,-0.042500440031290054,0.0070942845195531845,-0.003383301431313157,0.04527157172560692,-0.049547288566827774,-0.039725665003061295,-0.09866055101156235,0.6493281722068787,0.6639823317527771,0.6812555193901062,0.6656404733657837,0.6717305779457092,0.6803216934204102,0.646224856376648,0.6460275650024414,0.6972352862358093,0.6660147905349731,0.6446728706359863,0.6593769788742065,0.7179219722747803,0.6931536197662354,0.6754615902900696,0.697739839553833,0.0029732428956776857,0.03459470346570015,-0.04919098690152168,0.0333327054977417,0.08287753909826279,-0.08455491065979004,-0.03590599447488785,0.04242055118083954,0.026097113266587257,-0.04198191687464714,0.007714397739619017,-0.0024189725518226624,0.0451548732817173,-0.04716496169567108,-0.037809960544109344,-0.09565272927284241,0.6507236361503601,0.6636003851890564,0.6814107894897461,0.6660180687904358,0.672110378742218,0.6813457608222961,0.6478336453437805,0.6469454169273376,0.6972411870956421,0.6659875512123108,0.6456594467163086,0.6597294211387634,0.7176707983016968,0.6934996247291565,0.6753290295600891,0.6976223587989807,
1,3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014672636985778809
1,3957,1.3665261268615723,0.0009248529095202684,1.3656017780303955,-0.0026984952855855227,0.023002777248620987,-0.050109632313251495,0.01929672248661518,0.0810210108757019,-0.08285526186227798,-0.03817648068070412,0.03770429641008377,0.030529100447893143,-0.04984642565250397,0.013230944983661175,-0.0006938191363587976,0.04457690939307213,-0.04291192442178726,-0.035604916512966156,-0.0903686061501503,0.6539238095283508,0.6636828184127808,0.6807718873023987,0.6661461591720581,0.6713056564331055,0.6836298704147339,0.6488078832626343,0.6459779739379883,0.6919471025466919,0.6670528054237366,0.6452338099479675,0.6588077545166016,0.7157902121543884,0.6923563480377197,0.6723436117172241,0.6955877542495728,-0.0026967129670083523,0.02299840748310089,-0.05007200688123703,0.019322888925671577,0.08097345381975174,-0.08278381079435349,-0.038151226937770844,0.037656743079423904,0.030485117807984352,-0.04981121048331261,0.01319100521504879,-0.0006613685400225222,0.04455232620239258,-0.04293135553598404,-0.0356220118701458,-0.09032231569290161,0.6540156006813049,0.6636978387832642,0.6807955503463745,0.6661610007286072,0.6713466644287109,0.6836851835250854,0.6488759517669678,0.6460175514221191,0.6919634938240051,0.6671157479286194,0.6452798843383789,0.6588298082351685,0.7158100605010986,0.6923964023590088,0.6723998785018921,0.6955966353416443,
2,5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02056843973696232
2,5936,1.364648461341858,0.0011584716849029064,1.3634898662567139,-0.001817334326915443,0.021076804026961327,-0.047428328543901443,0.016564086079597473,0.08256006240844727,-0.07440277934074402,-0.03494343161582947,0.038572199642658234,0.03583933413028717,-0.05359748750925064,0.019306516274809837,-0.0034817191772162914,0.04886037856340408,-0.03102259151637554,-0.02726413682103157,-0.0753384605050087,0.6560882925987244,0.6673474907875061,0.6826928853988647,0.6662353277206421,0.6723877191543579,0.6855570077896118,0.6518381834030151,0.6467335224151611,0.6900469064712524,0.6686056852340698,0.646545946598053,0.6585568189620972,0.7163962721824646,0.694135844707489,0.6719234585762024,0.6967608332633972,-0.0018274391768500209,0.021096108481287956,-0.047373026609420776,0.016592470929026604,0.0824771374464035,-0.0743459090590477,-0.0349266342818737,0.038559798151254654,0.03578786551952362,-0.05353637412190437,0.01927957683801651,-0.0034582947846502066,0.048846013844013214,-0.031048571690917015,-0.02728820964694023,-0.07529784739017487,0.6561697125434875,0.6673750877380371,0.6827114224433899,0.6662569642066956,0.6724284887313843,0.685619056224823,0.6519165635108948,0.6467796564102173,0.6900705099105835,0.6686877608299255,0.6465942859649658,0.6585827469825745,0.7164294719696045,0.6941991448402405,0.6720049977302551,0.6967869400978088,
3,7915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003231577342376113
3,7915,1.3634748458862305,0.0015305497217923403,1.3619449138641357,-0.0014127114554867148,0.016919877380132675,-0.04656397923827171,0.01271030306816101,0.07939489185810089,-0.06384571641683578,-0.03173248469829559,0.0321124866604805,0.040146175771951675,-0.05333312228322029,0.019673865288496017,-0.0037024335470050573,0.04564880207180977,-0.022245479747653008,-0.024422502145171165,-0.06744567304849625,0.6595385670661926,0.6712024807929993,0.6856903433799744,0.6641439199447632,0.6745926737785339,0.6876713633537292,0.6574683785438538,0.649373471736908,0.6897140145301819,0.6714849472045898,0.647409975528717,0.6592069268226624,0.7175101637840271,0.6970910429954529,0.6726030707359314,0.6995126605033875,-0.0014221626333892345,0.016925180330872536,-0.04651358723640442,0.012696806341409683,0.07935816049575806,-0.06379297375679016,-0.03166786953806877,0.03207897022366524,0.04014277458190918,-0.05327228829264641,0.019680950790643692,-0.0036950483918190002,0.045673917979002,-0.022256428375840187,-0.0243956558406353,-0.06740103662014008,0.659660816192627,0.6712469458580017,0.6857157349586487,0.6641636490821838,0.6746477484703064,0.687748908996582,0.657597005367279,0.6494225263595581,0.6897428035736084,0.6715822815895081,0.6474654078483582,0.6592289209365845,0.7175660729408264,0.6971704959869385,0.6727102994918823,0.6995678544044495,
4,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011359627358615398
4,9894,1.3623179197311401,0.001903242664411664,1.360414743423462,-0.001070088823325932,0.013089465908706188,-0.04405055567622185,0.011965325102210045,0.07837419956922531,-0.057128164917230606,-0.028910480439662933,0.030527377501130104,0.04001999646425247,-0.05118430033326149,0.01732192188501358,-0.004312313627451658,0.0391826257109642,-0.013247571885585785,-0.023325294256210327,-0.0567781925201416,0.6628909111022949,0.6750247478485107,0.6897764801979065,0.6648540496826172,0.6749863028526306,0.6890534162521362,0.6616080403327942,0.6501737236976624,0.6889320015907288,0.6723097562789917,0.6490586996078491,0.6596834063529968,0.7182337045669556,0.6999955773353577,0.673747718334198,0.7033348679542542,-0.001028808648698032,0.01304734218865633,-0.04398933798074722,0.011973303742706776,0.07829724997282028,-0.0571550615131855,-0.02895715832710266,0.03047175332903862,0.03997398540377617,-0.051196303218603134,0.017304645851254463,-0.004271060228347778,0.039197731763124466,-0.01332878414541483,-0.023298067972064018,-0.05676766112446785,0.66301029920578,0.6750905513763428,0.6898083686828613,0.6648775935173035,0.675034761428833,0.6891569495201111,0.6617962121963501,0.6502152681350708,0.6889663934707642,0.6724123954772949,0.6491288542747498,0.6597163677215576,0.718314528465271,0.7001097202301025,0.6738832592964172,0.7034060955047607,
5,11873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031818451825529337
