epoch,step,train_loss,train_loss_kl,train_loss_recon,val_rank_ic
0,1978,,,,-0.010030876845121384
0,1978,1.3683584928512573,0.01988333836197853,1.363033413887024,
1,3957,,,,-0.006671063136309385
1,3957,1.3624399900436401,0.004833862651139498,1.3576067686080933,
2,5936,,,,0.006880016531795263
2,5936,1.359062910079956,0.005313273519277573,1.3537518978118896,
3,7915,,,,0.008262491784989834
3,7915,1.3579357862472534,0.005646542180329561,1.3522905111312866,
4,9894,,,,0.012267230078577995
4,9894,1.3565386533737183,0.00590848783031106,1.3506311178207397,
5,11873,,,,0.007369498256593943
5,11873,1.3555281162261963,0.00605894485488534,1.349468469619751,
6,13852,,,,-0.0017050873721018434
6,13852,1.3545148372650146,0.006169342435896397,1.3483449220657349,
7,15831,,,,-0.003787574591115117
7,15831,1.3536350727081299,0.00634567579254508,1.3472890853881836,
8,17810,,,,-0.004736825358122587
8,17810,1.3527640104293823,0.00648130290210247,1.346281886100769,
9,19789,,,,-0.0011541050625965
9,19789,1.3522722721099854,0.006580438930541277,1.3456909656524658,
