,rank_ic,rank_icir,annualized_return,annualized_excess,volatility,sharpe,information_ratio,max_drawdown,calmar,hit_rate,avg_turnover
FactorVAE,0.040169441718017146,0.24620684819368738,0.11470563844589149,-0.015584763273885882,0.19723761447837487,0.07455798167495992,-0.05312263726392336,0.4124283868008476,0.2781225592536148,0.5202665186007773,0.10039977790116603
FactorVAE (TDrisk),,,0.10278258734186616,-0.027507814377911246,0.20278562255277643,0.01372181768528467,-0.0926402843206597,0.433267231189293,0.23722677355435814,0.5274847307051638,0.08172126596335369
GRU,0.02488054226231783,0.2172436181122248,0.08915437770985081,-0.041136024009926525,0.21963112395123374,-0.04938108085517664,-0.1334969596368553,0.48289329512266543,0.18462542058531514,0.526929483620211,0.10049972237645752
IPCA,0.015684902910490715,0.11253238027486953,0.015315061510871652,-0.11497534020890572,0.27236939429730445,-0.31091943611215955,-0.33711125979760626,0.5810057633440957,0.026359569004484103,0.5119378123264853,0.10047751249305942
CA,0.03462921543528514,0.21945725064122407,0.08644124894338319,-0.04384915277639421,0.20539798119842292,-0.06601209504351702,-0.14608702463802464,0.44925137826637973,0.19241176126593562,0.5285952248750694,0.10049972237645752
